Title,Author,Filename,Start Key,End Key,Category,Bumper Sticker,Original Language,Country,Year,Year Val,Wiki Link,Wiki Text,Paragraphs
The Critique of Pure Reason,"Kant, Immanuel",kant_critique.txt, THE CRITIQUE OF PURE REASON,"End of the Project Gutenberg EBook of The Critique of Pure Reason, by Immanuel Kant",Transcendental Idealism,"The basis of ""a priori"" knowledge is both analytic and synthetic",German,Germany,1781,1781,https://en.wikipedia.org/wiki/Critique_of_Pure_Reason,"The Critique of Pure Reason (Kritik der reinen Vernunft) is a 1781 book by the German philosopher Immanuel Kant, in which the author seeks to determine the limits and scope of metaphysics. A heavily-revised second edition was published in 1787. Also referred to as Kant's ""First Critique"", it was followed by the Critique of Practical Reason (1788) and the Critique of Judgment (1790). In the preface to the first edition, Kant explains that by a ""critique of pure reason"" he means not ""a critique of books and systems, but of the faculty of reason in general, in respect of all knowledge after which it may strive independently of all experience"" and that he aims to reach a decision about ""the possibility or impossibility of metaphysics"". The First Critique is often viewed as culminating several centuries of early-modern philosophy, and inaugurating modern philosophy.

Kant builds on the work of empiricist philosophers such as John Locke and David Hume, as well as rationalists such as Gottfried Wilhelm Leibniz and Christian Wolff. He expounds new ideas on the nature of space and time, and tries to provide solutions to Hume's scepticism regarding human knowledge of the relation of cause and effect, and René Descartes' scepticism regarding knowledge of the external world. This is argued through the transcendental idealism of objects (as appearance) and their form of appearance. Kant regards the former ""as mere representations and not as things in themselves"", and the latter as ""only sensible forms of our intuition, but not determinations given for themselves or conditions of objects as things in themselves"". This grants the possibility of a priori knowledge, since objects as appearance ""must conform to our cognition . . . which is to establish something about objects before they are given to us"". Knowledge independent of experience Kant calls ""a priori"" knowledge, while knowledge obtained through experience is termed ""a posteriori"".[2] According to Kant, a proposition is a priori if it is necessary and universal. A proposition is necessary if it could not possibly be false, and so cannot be denied without contradiction. A proposition is universal if it is true in all cases, and so does not admit of any exceptions. Knowledge gained a posteriori through the senses, Kant argues, never imparts absolute necessity and universality, because it is always possible that we might encounter an exception.[3]

Kant claims to have discovered another attribute of propositions: the distinction between ""analytic"" and ""synthetic"" judgments.[4] According to Kant, a proposition is analytic if the content of the predicate-concept of the proposition is already contained within the subject-concept of that proposition.[5] For example, Kant considers the proposition ""All bodies are extended"" analytic, since the predicate-concept ('extended') is already contained within—or ""thought in""—the subject-concept of the sentence ('body'). The distinctive character of analytic judgements was therefore that they can be known to be true simply by an analysis of the concepts contained in them; they are true by definition. In synthetic propositions, on the other hand, the predicate-concept is not already contained within the subject-concept. For example, Kant considers the proposition ""All bodies are heavy"" synthetic, since the concept 'body' does not already contain within it the concept 'weight'.[6] Synthetic judgments therefore add something to a concept, whereas analytic judgments only explain what is already contained in the concept.

Prior to Kant, it was thought that all a priori knowledge must be analytic. Kant, however, argues that our knowledge of mathematics, of the first principles of natural science, and of metaphysics, is both a priori and synthetic. The peculiar nature of this knowledge, Kant argues, cries out for explanation. The central problem of the Critique is therefore to answer the question: ""How are synthetic a priori judgements possible?""[7] It is a ""matter of life and death"" to metaphysics and to human reason, Kant argues, that the grounds of this kind of knowledge be explained.[7]

Though it received little attention when it was first published, the Critique later attracted attacks from both empiricist and rationalist critics, and became a source of controversy. It has exerted an enduring influence on Western philosophy, and helped to bring about the development of German idealism.",1143
The Rubaiyat,"Khyyam, Omar",khyyam_rubaiyat.txt,by Omar Khyyam,***END***,Agnosticism,"Philosophy fails to satisfy, so drink joyously from the cup of life",Farsi,Persia,1120,1120,https://en.wikipedia.org/wiki/Rubaiyat_of_Omar_Khayyam,"Rubáiyát of Omar Khayyám is the title that Edward FitzGerald gave to his 1859 translation from Persian to English of a selection of quatrains (rubāʿiyāt) attributed to Omar Khayyam (1048–1131), dubbed ""the Astronomer-Poet of Persia.""

FitzGerald's work at first was unsuccessful commercially. But it was popularised from 1861 onward by Whitley Stokes, and the work came to be greatly admired by the Pre-Raphaelites in England. In 1872 FitzGerald had a third edition printed, which increased interest in the work in the United States of America. By the 1880s, the book was extremely well known throughout the English-speaking world, to the extent that numerous ""Omar Khayyam Clubs"" were formed and there was a ""fin de siècle cult of the Rubaiyat"".[1] FitzGerald's work has been published in several hundred editions, and it has inspired similar translation efforts in English and in many other languages.",100
A Letter Concerning Toleration,"Locke, John",locke_toleration.txt,A LETTER CONCERNING TOLERATION,THE END,Empiricism,The problem of religion overtaking government can be addressed with religious toleration,Latin,England,1689,1689,https://en.wikipedia.org/wiki/A_Letter_Concerning_Toleration,"A Letter Concerning Toleration by John Locke was originally published in 1689. Its initial publication was in Latin, though it was immediately translated into other languages. Locke's work appeared amidst a fear that Catholicism might be taking over England, and responds to the problem of religion and government by proposing religious toleration as the answer. This ""letter"" is addressed to an anonymous ""Honored Sir"": this was actually Locke's close friend Philipp van Limborch, who published it without Locke's knowledge.[1]",61
An Essay Concerning Human Understanding,"Locke, John",locke_understanding.txt,AN ESSAY CONCERNING HUMAN UNDERSTANDING,THE END,Empiricism,"All knowledge comes from and is limited by experience, and the mind starts as a blank slate",English,England,1690,1690,https://en.wikipedia.org/wiki/An_Essay_Concerning_Human_Understanding,"An Essay Concerning Human Understanding is a work by John Locke concerning the foundation of human knowledge and understanding. It first appeared in 1689 (although dated 1690) with the printed title An Essay Concerning Humane Understanding. He describes the mind at birth as a blank slate (tabula rasa, although he did not use those actual words) filled later through experience. The essay was one of the principal sources of empiricism in modern philosophy, and influenced many enlightenment philosophers, such as David Hume and George Berkeley.

Book I of the Essay is Locke's attempt to refute the rationalist notion of innate ideas. Book II sets out Locke's theory of ideas, including his distinction between passively acquired simple ideas, such as ""red,"" ""sweet,"" ""round,"" etc., and actively built complex ideas, such as numbers, causes and effects, abstract ideas, ideas of substances, identity, and diversity. Locke also distinguishes between the truly existing primary qualities of bodies, like shape, motion and the arrangement of minute particles, and the secondary qualities that are ""powers to produce various sensations in us""[1] such as ""red"" and ""sweet."" These secondary qualities, Locke claims, are dependent on the primary qualities. He also offers a theory of personal identity, offering a largely psychological criterion. Book III is concerned with language, and Book IV with knowledge, including intuition, mathematics, moral philosophy, natural philosophy (""science""), faith, and opinion.",871
The Prince,"Machiavelli, Nicolo",machiavelli_prince.txt,"CHAPTER I -- HOW MANY KINDS OF PRINCIPALITIES THERE ARE, AND BY WHAT","End of the Project Gutenberg EBook of The Prince, by Nicolo Machiavelli",Political Philosophy,Political power by any means necessary,Italian,Italy,1532,1532,https://en.wikipedia.org/wiki/The_Prince,"The Prince (Italian: Il Principe [il ˈprintʃipe]) is a 16th-century political treatise by the Italian diplomat and political theorist Niccolò Machiavelli. From correspondence a version appears to have been distributed in 1513, using a Latin title, De Principatibus (Of Principalities).[1] However, the printed version was not published until 1532, five years after Machiavelli's death. This was done with the permission of the Medici pope Clement VII, but ""long before then, in fact since the first appearance of The Prince in manuscript, controversy had swirled about his writings"".[2]

Although it was written as if it were a traditional work in the mirrors for princes style, it is generally agreed that it was especially innovative. This is only partly because it was written in the vernacular Italian rather than Latin, a practice which had become increasingly popular since the publication of Dante's Divine Comedy and other works of Renaissance literature.[3][4]

The Prince is sometimes claimed to be one of the first works of modern philosophy, especially modern political philosophy, in which the effective truth is taken to be more important than any abstract ideal. It was also in direct conflict with the dominant Catholic and scholastic doctrines of the time concerning politics and ethics.[5][6]

Although it is relatively short, the treatise is the most remembered of Machiavelli's works and the one most responsible for bringing the word ""Machiavellian"" into usage as a pejorative. It even contributed to the modern negative connotations of the words ""politics"" and ""politician"" in western countries.[7] In terms of subject matter it overlaps with the much longer Discourses on Livy, which was written a few years later. In its use of near-contemporary Italians as examples of people who perpetrated criminal deeds for politics, another lesser-known work by Machiavelli which The Prince has been compared to is the Life of Castruccio Castracani.

The descriptions within The Prince have the general theme of accepting that the aims of princes – such as glory and survival – can justify the use of immoral means to achieve those ends:[8]

He who neglects what is done for what ought to be done, sooner effects his ruin than his preservation.[9]",260
"A System of Logic, Ratiocinative and Inductive","Mill, John Stuart",mill_system.txt,INTRODUCTION.,"***END OF THE PROJECT GUTENBERG EBOOK A SYSTEM OF LOGIC, RATIOCINATIVE AND INDUCTIVE (VOL. 1 OF 2)***",Inductive Reasoning,System of logic using empiricist principles,English,United Kingdom,1843,1843,https://en.wikipedia.org/wiki/A_System_of_Logic,"A System of Logic, Ratiocinative and Inductive is an 1843 book by English philosopher John Stuart Mill. In this work, he formulated the five principles of inductive reasoning that are known as Mill's Methods. This work is important in the philosophy of science, and more generally, insofar as it outlines the empirical principles Mill would use to justify his moral and political philosophies. An article in ""Philosophy of Recent Times"" has described this book as an ""attempt to expound a psychological system of logic within empiricist principles.”

This work was important to the history of science, being a strong influence on scientists such as Dirac.[1][2] A System of Logic also had an impression on Gottlob Frege, who rebuked many of Mill's ideas about the philosophy of mathematics in his work The Foundations of Arithmetic.[3]

Mill revised the original work several times over the course of thirty years in response to critiques and commentary by Whewell, Bain, and others.",1825
On Liberty,"Mill, John Stuart",mill_liberty.txt,"The subject of this Essay is not the so-called Liberty of the Will, so","End of the Project Gutenberg EBook of On Liberty, by John Stuart Mill",Classical Liberalism,"Individual liberty from ""tyranny of majority""",English,United Kingdom,1859,1859,https://en.wikipedia.org/wiki/On_Liberty,"On Liberty is a philosophical work by the English philosopher John Stuart Mill, originally intended as a short essay. The work, published in 1859, applies Mill's ethical system of utilitarianism to society and the state.[1][2] Mill attempts to establish standards for the relationship between authority and liberty. He emphasizes the importance of individuality, which he conceived as a prerequisite to the higher pleasures—the summum bonum of utilitarianism. Furthermore, Mill criticizes the errors of past attempts to defend individuality where, for example, democratic ideals resulted in the ""tyranny of the majority"". Among the standards established in this work are Mill's three basic liberties of individuals, his three legitimate objections to government intervention, and his two maxims regarding the relationship of the individual to society.

On Liberty was a greatly influential and well received work, although it did not go without criticism. Some attacked it for its apparent discontinuity with Utilitarianism, while others criticized its vagueness. The ideas presented in On Liberty have remained the basis of much liberal political thought. It has remained in print continuously since its initial publication. To this day, a copy of On Liberty is passed to the president of the British Liberal Democrats as a symbol of office. A copy of the same book is also presented to and then held by the president of the Liberal Party as a symbol of office.

Mill's marriage to his wife Harriet Taylor Mill greatly influenced the concepts in On Liberty, which was largely finished prior to her death, and published shortly after she died.",128
Utilitarianism,"Mill, John Stuart",mill_utilitarianism.txt,*** START OF THIS PROJECT GUTENBERG EBOOK UTILITARIANISM ***,THE END.,Utilitarianism,The best actions are those that create the greatest well-being,English,United Kingdom,1863,1863,https://en.wikipedia.org/wiki/Utilitarianism_(book),"John Stuart Mill's book Utilitarianism is a classic exposition and defence of utilitarianism in ethics. The essay first appeared as a series of three articles published in Fraser's Magazine in 1861; the articles were collected and reprinted as a single book in 1863.[1] Mill's aim in the book is to explain what utilitarianism is, to show why it is the best theory of ethics, and to defend it against a wide range of criticisms and misunderstandings. Though heavily criticized both in Mill's lifetime and in the years since, Utilitarianism did a great deal to popularize utilitarian ethics[2] and has been considered ""the most influential philosophical articulation of a liberal humanistic morality that was produced in the nineteenth century.""[3]",93
Thus Spake Zarathustra,"Nietzsche, Friedrich",nietzsche_zara.txt,FIRST PART. ZARATHUSTRA’S DISCOURSES.,"End of Project Gutenberg’s Thus Spake Zarathustra, by Friedrich Nietzsche",Perspectivism,All ideations take place from particular perspectives,German,Germany,1891,1891,https://en.wikipedia.org/wiki/Thus_Spoke_Zarathustra,"Thus Spoke Zarathustra: A Book for All and None (German: Also sprach Zarathustra: Ein Buch für Alle und Keinen, also translated as Thus Spake Zarathustra) is a philosophical novel by German philosopher Friedrich Nietzsche, composed in four parts between 1883 and 1885 and published between 1883 and 1891.[1] Much of the work deals with ideas such as the ""eternal recurrence of the same"", the parable on the ""death of God"", and the ""prophecy"" of the Übermensch, which were first introduced in The Gay Science.[2]",2421
Common Sense,"Paine, Thomas",paine_common.txt,in all caps was in italics in the version of the book I used.,F I N I S.,Political Philosophy,American colonists should revolt against inevitable British oppression in pursuit of egalitarian government,English,United States,1776,1776,https://en.wikipedia.org/wiki/Common_Sense_(pamphlet),"Common Sense[1] was a pamphlet written by Thomas Paine in 1775–76 advocating independence from Great Britain to people in the Thirteen Colonies. Writing in clear and persuasive prose, Paine marshaled moral and political arguments to encourage common people in the Colonies to fight for egalitarian government. It was published anonymously on January 10, 1776, at the beginning of the American Revolution, and became an immediate sensation.

It was sold and distributed widely and read aloud at taverns and meeting places. In proportion to the population of the colonies at that time (2.5 million), it had the largest sale and circulation of any book published in American history.[2] As of 2006, it remains the all-time best selling American title, and is still in print today.[3]

Common Sense made public a persuasive and impassioned case for independence, which before the pamphlet had not yet been given serious intellectual consideration. Paine connected independence with common dissenting Protestant beliefs as a means to present a distinctly American political identity, structuring Common Sense as if it were a sermon.[4][5] Historian Gordon S. Wood described Common Sense as ""the most incendiary and popular pamphlet of the entire revolutionary era"".[6]

The text was translated into French by Antoine Gilbert Griffet de Labaume in 1790.",192
The Rights of Man,"Paine, Thomas",paine_rights.txt,THE RIGHTS OF MAN,***THE END***,Political Philosophy,Political revolution is permissible when a government does not safeguard the natural rights of its people,English,United Kingdom,1791,1791,https://en.wikipedia.org/wiki/Rights_of_Man,"Rights of Man (1791), a book by Thomas Paine, including 31 articles, posits that popular political revolution is permissible when a government does not safeguard the natural rights of its people. Using these points as a base it defends the French Revolution against Edmund Burke's attack in Reflections on the Revolution in France (1790).[1]

It was published in two parts in March 1791 and February 1792.[2]",627
The Republic,Plato,plato_republic.txt,PERSONS OF THE DIALOGUE.,"End of the Project Gutenberg EBook of The Republic, by Plato",Political Philosophy,"The just state is ruled by the philosopher-king, striving for the ideal forms",Greek,Greece,380 BC,-380,https://en.wikipedia.org/wiki/Republic_(Plato),"The Republic (Greek: Πολιτεία, Politeia; Latin: Res Publica[1]) is a Socratic dialogue, written by Plato around 380 BC, concerning justice (δικαιοσύνη), the order and character of the just city-state, and the just man.[2] It is Plato's best-known work, and has proven to be one of the world's most influential works of philosophy and political theory, both intellectually and historically.[3][4]

In the dialogue, Socrates discusses with various Athenians and foreigners about the meaning of justice and whether the just man is happier than the unjust man.[5] They consider the natures of existing regimes and then propose a series of different, hypothetical cities in comparison, culminating in Kallipolis (Καλλίπολις), a city-state ruled by a philosopher king. They also discuss the theory of forms, the immortality of the soul, and the role of the philosopher and of poetry in society.[6] The dialog's setting seems to be during the Peloponnesian War.[7]",1509
The Social Contract,"Rousseau, Jean-Jacques",rousseau_contract.txt,_In which it is inquired why man passes from the state,***END OF THE PROJECT GUTENBERG EBOOK THE SOCIAL CONTRACT & DISCOURSES***,Social Contract,The people are sovereign in forming a political community to address problems in a commercial society,French,France,1762,1762,https://en.wikipedia.org/wiki/The_Social_Contract,"The Social Contract, originally published as On the Social Contract; or, Principles of Political Rights (French: Du contrat social; ou Principes du droit politique) by Jean-Jacques Rousseau, is a 1762 book in which Rousseau theorized about the best way to establish a political community in the face of the problems of commercial society, which he had already identified in his Discourse on Inequality (1754).

The Social Contract helped inspire political reforms or revolutions in Europe, especially in France. The Social Contract argued against the idea that monarchs were divinely empowered to legislate. Rousseau asserts that only the people, who are sovereign, have that all-powerful right.",833
The Analysis of Mind,"Russell, Bertrand",russell_analysis.txt,"LECTURE I. RECENT CRITICISMS OF ""CONSCIOUSNESS""","End of Project Gutenberg's The Analysis of Mind, by Bertrand Russell",Analytic Philosophy,Modern empiricism allows philosophical questions to have scientific answers,English,United Kingdom,1921,1921,https://en.wikipedia.org/wiki/Bertrand_Russell,"Bertrand Arthur William Russell, 3rd Earl Russell, OM FRS[64] (/ˈrʌsəl/; 18 May 1872 – 2 February 1970) was a British philosopher, logician, mathematician, historian, writer, social critic, political activist, and Nobel laureate.[65][66] At various points in his life, Russell considered himself a liberal, a socialist and a pacifist, although he also confessed that his skeptical nature had led him to feel that he had ""never been any of these things, in any profound sense.""[67] Russell was born in Monmouthshire into one of the most prominent aristocratic families in the United Kingdom.[68]

In the early 20th century, Russell led the British ""revolt against idealism"".[69] He is considered one of the founders of analytic philosophy along with his predecessor Gottlob Frege, colleague G. E. Moore and protégé Ludwig Wittgenstein. He is widely held to be one of the 20th century's premier logicians.[66] With A. N. Whitehead he wrote Principia Mathematica, an attempt to create a logical basis for mathematics, the quintessential work of classical logic. His philosophical essay ""On Denoting"" has been considered a ""paradigm of philosophy"".[70] His work has had a considerable influence on mathematics, logic, set theory, linguistics, artificial intelligence, cognitive science, computer science (see type theory and type system) and philosophy, especially the philosophy of language, epistemology and metaphysics.

Russell was a prominent anti-war activist and he championed anti-imperialism.[71][72] Occasionally, he advocated preventive nuclear war, before the opportunity provided by the atomic monopoly had passed and ""welcomed with enthusiasm"" world government.[73] He went to prison for his pacifism during World War I.[74] Later, Russell concluded that war against Adolf Hitler's Nazi Germany was a necessary ""lesser of two evils"" and criticised Stalinist totalitarianism, attacked the involvement of the United States in the Vietnam War and was an outspoken proponent of nuclear disarmament.[75] In 1950, Russell was awarded the Nobel Prize in Literature ""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought"".[76][77]",581
